id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
751785,Instaworthy Views. Free Parking. Walk Everywhere,2516345,Jaco,Ward 115,-33.92423,18.42283,Entire home/apt,1088,3,14,2022-09-02,0.11,80,300,0;
1182416,905 The Decks on Long Street,5808514,Brad,Ward 115,-33.92179,18.42015,Entire home/apt,1314,2,36,2024-04-19,0.34,2,163,4;
754780,Large and clean room in a house,3971841,John,Ward 57,-33.9345,18.46529,Private room,14,0,1,0,0;
759767,Woodbridge Island Townhouse in private estate.,4004504,Steven,Ward 55,-33.88595,18.48791,Entire home/apt,1900,10,19,2024-01-28,0.14,1,352,2;
1191976,Unwind at a Bespoke Sea View Studio near the V&A Waterfront,3809204,Chantal,Ward 115,-33.89995,18.40758,Entire home/apt,1350,10,32,2022-12-10,0.25,6,74,0;
768582,Stylish and bright Sea Point 1-Bed apartment,4054512,Lizzie,Ward 54,-33.91449,18.39401,Entire home/apt,950,4,12,2024-03-28,0.09,1,109,1;
"1194568,""Roomy Art Deco flat, Fresnaye/Sea Point, Cape Town"",6527833,Isa,Ward 54,-33.92078,18.38758,Entire home/apt,1089,3,49,2024-06-11,0.40,1,161,18";
1197587,Town apartment with amazing view!,6542285,Mareli,Ward 77,-33.9399,18.42583,Private room,600,4,1,2024-01-07,0.17,1,363,1;
771176,African Sun,4065747,Don,Ward 77,-33.93915,18.42456,Entire home/apt,827,2,275,2024-03-16,1.95,1,291,11;
1234685,Terrace Apartment,6732291,Peter,Ward 54,-33.92005,18.39094,Entire home/apt,1900,7,14,2024-04-03,0.11,1,230,4;
776601,Beautiful Heritage Home,4094560,Amelia,Ward 77,-33.94297,18.41952,Entire home/apt,4,4,2024-01-02,0.04,3,0,1;
778089,Tristan's Beach House - Cape Town,2130446,Heather,Ward 61,-34.138901,18.328859,Entire home/apt,3000,2,18,2024-02-11,0.13,3,347,3;
1241945,Merridew - Walking distance to Camps Bay Beach,6632489,Turnkey365,Ward 54,-33.9593,18.37921,Entire home/apt,8607,1,37,2024-04-07,0.30,54,252,11;
782166,Wessels House Studio,2604213,Chris,Ward 115,-33.91136,18.41357,Entire home/apt,700,2,31,2024-02-23,0.22,4,267,6;
782208,Wessels House - Central Calm Oasis - garden & pool,2604213,Chris,Ward 115,-33.91136,18.41357,Entire home/apt,5200,3,187,2024-02-15,1.34,4,198,7;
1253226,Msangasanga - Superb family Villa in Camps Bay,6632489,Turnkey365,Ward 54,-33.95477,18.38423,Entire home/apt,8094,1,27,2024-05-07,0.25,54,211,7;
